gene	ratio
YPR165W	1.0666
YDL174C	1.0765
YDL229W	1.0765
YDR381W	1.0765
YGR285C	1.0765
YHR193C	1.0765
YJR077C	1.0765
YKL210W	1.0765
YLR354C	1.0765
YML123C	1.0765
YMR174C	1.0765
YMR303C	1.0765
YNR001C	1.0765
YPL160W	1.0765
YPR036W	1.0765
YHR008C	1.0864
YHR042W	1.0864
YLR167W	1.0864
YLR259C	1.0864
YMR298W	1.0864
YOL139C	1.0864
YOR187W	1.0864
YPL218W	1.0864
YBR039W	1.0965
YER025W	1.0965
YFL059W	1.0965
YFR044C	1.0965
YMR108W	1.0965
YNL069C	1.0965
YOR007C	1.0965
YOR184W	1.0965
YPL078C	1.0965
YBL050W	1.1066
YBR109C	1.1066
YDL015C	1.1066
YJL167W	1.1066
YJR095W	1.1066
YML129C	1.1066
YNL037C	1.1066
YNL301C	1.1066
YPR102C	1.1066
YCL043C	1.1169
YHR096C	1.1169
YJL020C	1.1169
YJL191W	1.1169
YNL135C	1.1169
YOR317W	1.1169
YPR184W	1.1169
YBR026C	1.1272
YDL066W	1.1272
YLR249W	1.1272
YDL131W	1.1376
YGL026C	1.1376
YGR209C	1.1376
YKR018C	1.1376
YNL154C	1.1376
YLR327C	1.1482
YNL160W	1.1482
YOL016C	1.1482
YDL061C	1.1695
YDL100C	1.1695
YMR051C	1.1695
YMR145C	1.1803
YMR318C	1.1803
YNL194C	1.1803
YBL072C	1.2023
YHR021C	1.2023
YJL154C	1.2023
YPL240C	1.2023
YPR145W	1.2023
YER080W	1.2134
YJR105W	1.2134
YKL142W	1.2134
YKR048C	1.2134
YML070W	1.2134
YNL244C	1.2134
YOR198C	1.2134
YPL143W	1.2134
YGL106W	1.2246
YGR061C	1.2246
YHR051W	1.2246
YJL068C	1.2359
YOR265W	1.2359
YGR204W	1.2589
YLR421C	1.2589
YGR043C	1.2706
YLR109W	1.2706
YBL030C	1.2823
YMR260C	1.2823
YOL127W	1.2823
YBR191W	1.2942
YDR091C	1.2942
YDR450W	1.2942
YLR438W	1.3062
YLR029C	1.3183
YPL091W	1.3183
YDL075W	1.3305
YGR254W	1.3305
YIL033C	1.3428
YPL129W	1.3428
YGR094W	1.3552
YPL131W	1.3552
YER177W	1.3677
YPR187W	1.3677
YGL054C	1.3804
YER043C	1.3932
YBR078W	1.406
YDR471W	1.406
YER036C	1.406
YPR108W	1.4191
YOR374W	1.4322
YER091C	1.4454
YOL040C	1.4454
YPL249C-A	1.4454
YBR035C	1.4859
YMR110C	1.4859
YNR016C	1.4859
